carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
HexaCube,160 Changi Road Singapore 419728,419728,07:00 AM - 06:00 PM: No parking,06:00 PM - 07:00 AM: $3.00 per entry,07:00 AM - 01:00 PM: First 30 mins $1.20; Subsequent 15 mins $0.60,01:00 PM - 07:00 AM: $3.00 per entry; First 15 mins $0.60; Subsequent 15 mins $0.60,,,,,Same as weekdays,,,,,,12:00 AM - 12:00 AM: $3.00 per entry; First 15 mins $0.60; Subsequent 15 mins $0.60,,,,,,
AIA Tower,"1 Robinson Road, S(048542",048542,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Hindoo Road / Kampong Kapor Road,12 Tai Seng Link #06-02 Singapore 534233,534233,07:00 AM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,,,07:00 AM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,
Alliance Francaise de Singapour,1 Sarkies Road Singapore 258130,258130,08:00 AM - 11:00 PM: First 2 hours $2.50; Subsequent 30 mins $1.25,11:00 PM - 08:00 AM: No parking,,,,,,,08:00 AM - 11:00 PM: First 2 hours $2.50; Subsequent 30 mins $1.25,11:00 PM - 08:00 AM: No parking,,,,,08:00 AM - 11:00 PM: First 2 hours $2.50; Subsequent 30 mins $1.25,11:00 PM - 08:00 AM: No parking,,,,,
Armenian Church of Saint Gregory,60 Hill Street Singapore 179366,179366,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Balestier Warehouse,"12A Jalan Ampas, S(329516",329516,08:00 AM - 05:00 PM: First hour $1.50; Subsequent 30 mins $1.50,05:00 PM - 08:00 AM: First hour $1.50; Subsequent 30 mins $1.50,,,,,,,08:00 AM - 05:00 PM: First hour $1.50; Subsequent 30 mins $1.50,05:00 PM - 08:00 AM: First hour $1.50; Subsequent 30 mins $1.50,,,,,08:00 AM - 05:00 PM: First hour $1.50; Subsequent 30 mins $1.50,05:00 PM - 08:00 AM: First hour $1.50; Subsequent 30 mins $1.50,,,,,
Bangkok Bank Building,180 Cecil Street Singapore 069546,069546,07:00 AM - 07:00 PM: First 30 mins $2.30; Subsequent hour $4.00,07:00 AM - 03:00 PM: First 30 mins $2.30; Subsequent hour $4.00,,,,,,,Same as weekdays,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Serangoon Stadium,"35 Yio Chu Kang Road, Singapore 545552",545552,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,
Sin Ming AutoCity,"160 Sin Ming Drive, Singapore 575722",575722,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,,,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,07:00 AM - 10:30 PM: Free parking,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,
Sin Ming Plaza,"6 Sin Ming Road, Singapore 575585",575585,08:00 AM - 08:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,,,,,,,,08:00 AM - 08:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,,,,,,08:00 AM - 08:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,,,,,,
Singapore Godown,"25 Tagore Lane, Singapore 787602",787602,07:00 AM - 11:00 PM: First hour $1.20; Subsequent 30 mins $0.60,11:00 PM - 07:00 AM: $2.40 per entry,,,,,,,07:00 AM - 11:00 PM: First hour $1.20; Subsequent 30 mins $0.60,11:00 PM - 07:00 AM: $2.40 per entry,,,,,07:00 AM - 07:00 AM: $2.40 per entry,,,,,,
Singapore Turf Club (STC),"1 Turf Club Avenue Singapore Racecourse, Singapore 738078",738078,Weekdays before 5/6pm: 9.00am-11.00pm: $3 per entry,Weekdays after 5/6pm: 9.00am-11.00pm: $3 per entry,,,,,,,Saturdays: 9.00am-11.00pm: $6 per entry,,,,,,Sundays/Public Holidays: Same as Saturday,,,,,,
Singapore Zoo / Singapore Night Safari,"80 Mandai Lake Road, Singapore 729826",729826,Weekdays before 5/6pm: 7.00am-7.00pm : $3 for 1st hour; sub. $2/hour (capped at $10/entry),Weekdays after 5/6pm: 7.00am-7.00pm : $3 for 1st hour; sub. $2/hour (capped at $10/entry),,,,,,,Saturdays: Same as weekdays,,,,,,Sundays/Public Holidays: Same as weekdays,,,,,,
Tagore 23 Warehouse,"23 Tagore Lane, Singapore 787601",787601,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.33; Subsequent 30 mins $0.74,06:00 PM - 07:00 AM: 10 mins grace period; $2.62 per entry,,,,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.33; Subsequent 30 mins $0.74,06:00 PM - 07:00 AM: 10 mins grace period; $2.62 per entry,,,,,Same as weekdays,,,,,,
Tagore Industrial Building,"6 Tagore Drive, Singapore 787623",787623,08:00 AM - 05:00 PM: $0.60 per 30 mins,05:00 PM - 08:00 AM: $2.40 per entry,,,,,,,08:00 AM - 05:00 PM: $0.60 per 30 mins,05:00 PM - 08:00 AM: $2.40 per entry,,,,,08:00 AM - 05:00 PM: $0.60 per 30 mins,05:00 PM - 08:00 AM: $2.40 per entry,,,,,
Techplace 1,"4008 Ang Mo Kio Avenue 10, Singapore 569625",569625,08:00 AM - 05:00 PM: 10 mins grace period; First hour $0.92; Subsequent hour $1.12,05:00 PM - 08:00 AM: 10 mins grace period; $1.74 per entry,,,,,,,08:00 AM - 05:00 PM: 10 mins grace period; First hour $0.92; Subsequent hour $1.12,05:00 PM - 08:00 AM: 10 mins grace period; $1.74 per entry,,,,,Same as weekdays,,,,,,
Techpoint,"10 Ang Mo Kio Street 65, Singapore 569059",569059,08:00 AM - 08:00 AM: 15 mins grace period; First hour $2.14; Subsequent 30 mins $1.60; Capped at $12.00,,,,,,,,08:00 AM - 08:00 AM: 15 mins grace period; First hour $2.14; Subsequent 30 mins $1.60; Capped at $12.00,,,,,,08:00 AM - 08:00 AM: 15 mins grace period; First hour $2.14; Subsequent 30 mins $1.60; Capped at $12.00,,,,,,
Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,428788,06:00 AM - 10:00 AM: First hour $0.48; Subsequent 15 mins $0.12,10:00 AM - 12:00 PM: First hour $0.96; Subsequent 15 mins $0.24,12:00 PM - 02:00 PM: Free parking,02:00 PM - 06:00 PM: First hour $0.96; Subsequent 15 mins $0.24,06:00 PM - 10:00 PM: First hour $1.00; Subsequent 15 mins $0.25,10:00 PM - 06:00 AM: First hour $0.32; Subsequent 15 mins $0.08,,,06:00 AM - 10:00 AM: First hour $0.54; Subsequent 15 mins $0.16; Subsequent 15 mins $0.65,10:00 AM - 12:00 PM: First hour $1.28; Subsequent 15 mins $0.65,12:00 PM - 02:00 PM: Free parking,02:00 PM - 09:00 PM: First hour $1.28; Subsequent 15 mins $0.65,09:00 PM - 06:00 AM: First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16,,06:00 AM - 10:00 AM: First hour $0.54; Subsequent 15 mins $0.16; Subsequent 15 mins $0.65,10:00 AM - 12:00 PM: First hour $1.28; Subsequent 15 mins $0.65,12:00 PM - 02:00 PM: Free parking,02:00 PM - 09:00 PM: First hour $1.28; Subsequent 15 mins $0.65,09:00 PM - 06:00 AM: First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16,06:00 AM - 10:00 AM: First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16,10:00 AM - 09:00 PM: First hour $1.28; Subsequent 15 mins $0.65; Subsequent 15 mins $0.65
Home United Youth Football Academy (HYFA),8 Mattar Road Singapore 387727,387727,08:00 AM - 06:00 PM: First hour $1.28; Subsequent 30 mins $0.64,06:00 PM - 08:00 AM: $2.68 per entry,,,,,,,08:00 AM - 06:00 PM: First hour $1.28; Subsequent 30 mins $0.64,06:00 PM - 08:00 AM: $2.68 per entry,,,,,08:00 AM - 06:00 PM: First hour $1.28; Subsequent 30 mins $0.64,06:00 PM - 08:00 AM: $2.68 per entry,,,,,
Hor Kew Business Centre,66 Kallang Pudding Road Singapore 349324,349324,07:00 AM - 10:00 PM: 10 mins grace period; First 30 mins $0.80; Subsequent 10 mins free; Subsequent 30 mins $0.80,10:00 PM - 07:00 AM: No parking,,,,,,,07:00 AM - 10:00 PM: 10 mins grace period; First 30 mins $0.80; Subsequent 10 mins free; Subsequent 30 mins $0.80,10:00 PM - 07:00 AM: No parking,,,,,07:00 AM - 10:00 PM: 10 mins grace period; First 30 mins $0.80; Subsequent 10 mins free; Subsequent 30 mins $0.80,10:00 PM - 07:00 AM: No parking,,,,,
Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,428788,06:00 AM - 10:00 AM: First hour $0.48; Subsequent 15 mins $0.12; Subsequent 15 mins $0.65,10:00 AM - 12:00 PM: First hour $0.96; Subsequent 15 mins $0.24,12:00 PM - 02:00 PM: Free parking,02:00 PM - 06:00 PM: First hour $0.96; Subsequent 15 mins $0.24,06:00 PM - 10:00 PM: First hour $1.00; Subsequent 15 mins $0.25,10:00 PM - 06:00 AM: First hour $0.32; Subsequent 15 mins $0.08,,,06:00 AM - 10:00 AM: First hour $0.54; Subsequent 15 mins $0.16,10:00 AM - 12:00 PM: First hour $1.28; Subsequent 15 mins $0.65,12:00 PM - 02:00 PM: Free parking,02:00 PM - 09:00 PM: First hour $1.28; Subsequent 15 mins $0.65,09:00 PM - 06:00 AM: First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16,,06:00 AM - 10:00 AM: First hour $0.54; Subsequent 15 mins $0.16,10:00 AM - 12:00 PM: First hour $1.28; Subsequent 15 mins $0.65,12:00 PM - 02:00 PM: Free parking,02:00 PM - 09:00 PM: First hour $1.28; Subsequent 15 mins $0.65,09:00 PM - 06:00 AM: First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16,06:00 AM - 10:00 AM: First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16,10:00 AM - 09:00 PM: First hour $1.28; Subsequent 15 mins $0.65; Subsequent 15 mins $0.65
Hotel Windsor,12 Tai Seng Link #06-02 Singapore 534233,534233,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Hougang 1,1 Hougang Street 91 Singapore 538692,538692,12:00 AM - 06:00 PM: 10 mins grace period; First hour $1.64; Subsequent 15 mins $0.41; $2.45 per entry; Subsequent hour $1.74; Subsequent 15 mins $0.44,06:00 PM - 12:00 AM: Free parking,12:00 AM - 12:00 AM: $1.42 per entry,,,,,,12:00 AM - 06:00 PM: 10 mins grace period; Per 10 mins free,06:00 PM - 12:00 AM: 10 mins grace period; First 10 mins free; $2.62 per entry,12:00 AM - 12:00 AM: $1.42 per entry,,,,12:00 AM - 06:00 PM: 10 mins grace period; Per 10 mins free,06:00 PM - 12:00 AM: 10 mins grace period; First 10 mins free; $2.62 per entry,12:00 AM - 12:00 AM: $1.42 per entry,,,,
Hougang Green Shopping Mall,21 Hougang Street 51 Singapore 538719,538719,07:00 AM - 05:00 PM: First hour $1.30; Subsequent 30 mins $0.70,05:00 PM - 12:00 AM: $3.00 per entry,12:00 AM - 07:00 AM: $5.00 per entry; Per 30 mins $0.70,,,,,,07:00 AM - 05:00 PM: First hour $1.30; Subsequent 30 mins $0.70,05:00 PM - 12:00 AM: $3.00 per entry,12:00 AM - 07:00 AM: $5.00 per entry; Per 30 mins $0.70,,,,07:00 AM - 12:00 AM: $3.00 per entry; Per 30 mins $0.70,12:00 AM - 07:00 AM: $5.00 per entry; Per 30 mins $0.70,,,,,
Hougang Mall,90 Hougang Avenue 10 Singapore 538766,538766,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.85; Subsequent 10 mins free; Subsequent hour $1.39; Subsequent 30 mins $1.07,06:00 PM - 12:00 AM: 10 mins grace period; $2.14 per entry,12:00 AM - 07:00 AM: No parking,,,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.28; $2.14 per entry,06:00 PM - 12:00 AM: 10 mins grace period; First hour $1.28; $2.14 per entry; Subsequent 10 mins free; $2.14 per entry,12:00 AM - 07:00 AM: No parking,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.28; $2.14 per entry,06:00 PM - 12:00 AM: 10 mins grace period; First hour $1.28; $2.14 per entry; Subsequent 10 mins free; $2.14 per entry,12:00 AM - 07:00 AM: No parking,,,,
Hougang Stadium / Sports Hall / ClubFITT Gym,100 Hougang Avenue 2 Singapore 538856,538856,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,428802,06:00 AM - 10:00 AM: First hour $0.60; Subsequent 15 mins $0.25; Subsequent 15 mins $0.45,10:00 AM - 06:00 PM: First hour $1.08; Subsequent 15 mins $0.32,06:00 PM - 06:00 AM: $3.05 per entry,06:00 PM - 06:00 AM: First hour $1.08; $3.05 per entry,,,,,06:00 AM - 10:00 AM: First hour $1.08; Subsequent hour $0.70,10:00 AM - 06:00 PM: First hour $1.08; Subsequent hour $1.30; Subsequent 15 mins $0.66,06:00 PM - 06:00 AM: First hour $1.08; $3.05 per entry,,,,06:00 AM - 10:00 AM: First hour $1.08; Subsequent hour $0.70,10:00 AM - 06:00 PM: First hour $1.08; Subsequent hour $1.30; Subsequent 15 mins $0.66,06:00 PM - 06:00 AM: First hour $1.08; $3.05 per entry,,,,
IBM Place 1,9 Changi Business Park Central 1 Singapore 486048,486048,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
IBM Place 2,9 Changi Business Park Central 1 Singapore 486048,486048,07:00 AM - 10:00 PM: 10 mins grace period; First hour $2.20; Subsequent 30 mins $2.70,07:00 AM - 10:00 PM: 10 mins grace period; $1.10 per entry,10:01 PM - 06:59 AM: 10 mins grace period; $1.10 per entry,,,,,,07:00 AM - 10:00 PM: 10 mins grace period; First hour $2.20; Subsequent 30 mins $2.70,07:00 AM - 10:00 PM: 10 mins grace period; $1.10 per entry,10:01 PM - 06:59 AM: 10 mins grace period; $1.10 per entry,,,,10:01 PM - 06:59 AM: No parking,12:00 AM - 12:00 AM: 10 mins grace period; $1.10 per entry,,,,,
IBM Singapore Technology Park,6 Tampines Industrial Avenue 5 Singapore (528760,528760,07:00 AM - 07:00 PM: $0.03 per min,07:00 PM - 07:00 AM: $2.50 per entry,,,,,,,07:00 AM - 07:00 PM: $0.03 per min,07:00 PM - 07:00 AM: $2.50 per entry,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
IKEA Tampines,60 Tampines North Drive 2 Singapore 528764,528764,07:00 AM - 11:00 PM: Free parking,11:00 PM - 07:00 AM: No parking,,,,,,,07:00 AM - 11:00 PM: Free parking,11:00 PM - 07:00 AM: No parking,,,,,07:00 AM - 11:00 PM: Free parking,11:00 PM - 07:00 AM: No parking,,,,,
Institute Of Mental Health (IMH),10 Buangkok View Singapore 539747,539747,12:00 AM - 12:00 AM: Free parking,,,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
Joo Chiat Complex,1 Joo Chiat Road Singapore 420001,420001,07:00 AM - 07:00 PM: $0.50 per 30 mins,07:00 PM - 07:00 AM: $0.80 per 30 mins,,,,,,,07:00 AM - 07:00 PM: $0.50 per 30 mins,07:00 PM - 07:00 AM: $0.80 per 30 mins,,,,,07:00 AM - 07:00 PM: $0.50 per 30 mins,07:00 PM - 07:00 AM: $0.80 per 30 mins,,,,,
Joo Seng Warehouse,1 Upper Aljunied Link Singapore 367901,367901,08:00 AM - 06:00 PM: No parking,06:00 PM - 06:00 AM: No parking,08:00 AM - 04:00 PM: $1.02 per hour,04:00 PM - 08:00 AM: No parking,,,,,08:00 AM - 04:00 PM: $1.02 per hour,04:00 PM - 08:00 AM: No parking,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
JTC Blk 3014A / 3015A Ubi Road 1,3014A Ubi Road 1 Singapore 408703,408703,07:00 AM - 10:00 PM: No parking,10:00 PM - 07:00 AM: $2.00 per entry,,,,,,,07:00 AM - 10:00 PM: No parking,10:00 PM - 07:00 AM: $2.00 per entry,,,,,12:00 AM - 12:00 AM: $2.00 per entry,,,,,,
JTC Blk 8 / 12 Lorong Bakar Batu,8 Lorong Bakar Batu Singapore 348743,348743,07:00 AM - 11:00 PM: $0.50 per 30 mins,11:00 PM - 07:00 AM: No parking,,,,,,,07:00 AM - 11:00 PM: $0.50 per 30 mins,11:00 PM - 07:00 AM: No parking,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Kaki Bukit Autohub,2 Kaki Bukit Avenue 2 Singapore 417921,417921,07:00 AM - 10:30 PM: $0.50 per 30 mins,10:30 PM - 07:00 AM: $0.50 per 30 mins; Capped at $4.00,07:00 AM - 10:30 PM: Free parking,,,,,,07:00 AM - 10:30 PM: $0.50 per 30 mins,10:30 PM - 07:00 AM: $0.50 per 30 mins; Capped at $4.00,07:00 AM - 10:30 PM: Free parking,,,,Same as weekdays,,,,,,
Kallang Leisure Park,5 Stadium Walk Singapore 397693,397693,08:15 AM - 06:00 PM: hour grace period; First 30 mins $0.70; Subsequent hour $0.70; Subsequent 15 mins $0.40,06:00 PM - 03:00 AM: $1.80 per entry,03:00 AM - 08:15 AM: No parking,,,,,,08:30 AM - 06:00 PM: hour grace period; $1.80 per entry,06:00 PM - 03:00 AM: hour grace period; $1.80 per entry; $2.30 per entry,03:00 AM - 08:15 AM: No parking,,,,08:30 AM - 06:00 PM: hour grace period; $1.80 per entry,06:00 PM - 03:00 AM: hour grace period; $1.80 per entry; $2.30 per entry,03:00 AM - 08:15 AM: No parking,,,,
The Brooks I,"60 Springside Walk, Singapore 786020",786020,07:00 AM - 07:00 AM: First hour $1.40; Subsequent 30 mins $0.70,,,,,,,,07:00 AM - 07:00 AM: First hour $1.40; Subsequent 30 mins $0.70,,,,,,07:00 AM - 07:00 AM: First hour $1.40; Subsequent 30 mins $0.70,,,,,,
The Brooks II,"25 Springside Green, Singapore 786015",786015,07:00 AM - 07:00 AM: First hour $1.40; Subsequent 30 mins $0.70,,,,,,,,07:00 AM - 07:00 AM: First hour $1.40; Subsequent 30 mins $0.70,,,,,,07:00 AM - 07:00 AM: First hour $1.40; Subsequent 30 mins $0.70,,,,,,
Kallang Wave Mall,1 Stadium Place Singapore 397628,397628,12:00 AM - 12:00 AM: 10 mins grace period; Per 30 mins $0.64,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per 30 mins $0.64,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per 30 mins $0.64,,,,,,
The Grassroots Club,"190 Ang Mo Kio Avenue 8, Singapore 568046",568046,07:00 AM - 11:00 PM: $0.60 per 30 mins,11:00 PM - 07:00 AM: $3.00 per entry,,,,,,,07:00 AM - 11:00 PM: $0.60 per 30 mins,11:00 PM - 07:00 AM: $3.00 per entry,,,,,07:00 AM - 11:00 PM: $0.60 per 30 mins,11:00 PM - 07:00 AM: $3.00 per entry,,,,,
The Oval @ Seletar Aerospace Park,"3 Park Lane, Singapore 798387",798387,07:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60,,,,,,,,07:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60,,,,,,07:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60,,,,,,
Kampong Bugis Road,12 Tai Seng Link #06-02 Singapore 534233,534233,07:00 AM - 05:00 PM: $0.02 per min,05:00 PM - 07:00 AM: First min $0.02; Subsequent 0 mins free; Capped at $5.00,,,,,,,07:00 AM - 05:00 PM: $0.02 per min,05:00 PM - 07:00 AM: First min $0.02; Subsequent 0 mins free; Capped at $5.00,,,,,07:00 AM - 05:00 PM: $0.02 per min,05:00 PM - 07:00 AM: First min $0.02; Subsequent 0 mins free; Capped at $5.00,,,,,
Thomson Plaza,"301 Upper Thomson Road, Singapore 574408",574408,07:00 AM - 12:00 AM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,12:00 AM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,,,,07:00 AM - 12:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,12:00 AM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,,07:00 AM - 12:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,12:00 AM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,,
Kapo Factory Building,80 Playfair Road Singapore 367998,367998,12:00 AM - 12:00 AM: First hour $0.71; Subsequent hour $1.12,,,,,,,,12:00 AM - 12:00 AM: First hour $0.71; Subsequent hour $1.12,,,,,,12:00 AM - 12:00 AM: $2.02 per entry,,,,,,
Toa Payoh Stadium / Sports Hall / ClubFITT Gym,"297 Lorong 6 Toa Payoh, Singapore 319389",319389,07:00 AM - 07:00 AM: $0.60 per 30 mins,,,,,,,,07:00 AM - 07:00 AM: $0.60 per 30 mins,,,,,,07:00 AM - 07:00 AM: $0.60 per 30 mins,,,,,,
Victory 8,"8 Jalan Legundi, Singapore 759274",759274,07:00 AM - 07:00 AM: $1.85 per hour; Capped at $5.40,,,,,,,,07:00 AM - 07:00 AM: $1.85 per hour; Capped at $5.40,,,,,,07:00 AM - 07:00 AM: $1.85 per hour; Capped at $5.40,,,,,,
Katong Plaza,1 Brooke Road Singapore 429979,429979,06:00 AM - 06:00 PM: First hour $1.50; Subsequent 30 mins $0.80,06:00 PM - 06:00 AM: First hour $1.00; Subsequent 30 mins $0.50,,,,,,,06:00 AM - 06:00 PM: First hour $1.50; Subsequent 30 mins $0.80,06:00 PM - 06:00 AM: First hour $1.00; Subsequent 30 mins $0.50,,,,,06:00 AM - 06:00 PM: First hour $1.50; Subsequent 30 mins $0.80,06:00 PM - 06:00 AM: First hour $1.00; Subsequent 30 mins $0.50,,,,,
Katong Point,451 Joo Chiat Road Singapore 427664,427664,07:00 AM - 11:00 PM: 5 mins grace period; First hour $3.00; Subsequent 15 mins $0.75,11:00 PM - 07:00 AM: 5 mins grace period; Per 3 mins free,,,,,,,07:00 AM - 11:00 PM: 5 mins grace period; First hour $3.00; Subsequent 15 mins $0.75,11:00 PM - 07:00 AM: 5 mins grace period; Per 3 mins free,,,,,07:00 AM - 11:00 PM: 5 mins grace period; First hour $3.00; Subsequent 15 mins $0.75,11:00 PM - 07:00 AM: 5 mins grace period; Per 3 mins free,,,,,
Katong Shopping Centre,865 Mountbatten Road Singapore 437844,437844,07:00 AM - 06:00 PM: 5 mins grace period; Per hour $1.55,06:00 PM - 07:00 AM: $2.67 per entry,,,,,,,07:00 AM - 06:00 PM: 5 mins grace period; Per hour $1.55,06:00 PM - 07:00 AM: $2.67 per entry,,,,,12:00 AM - 12:00 AM: $2.67 per entry,,,,,,
Waterway Point,12 Tai Seng Link #06-02 Singapore 534233,534233,06:00 AM - 06:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.80,,,,,,,,06:00 AM - 06:00 AM: 10 mins grace period; First hour $1.60; Subsequent 30 mins $0.80,,,,,,06:00 AM - 06:00 AM: 10 mins grace period; First hour $1.60; Subsequent 30 mins $0.80,,,,,,
Albert Centre Market and Food Centre,270 Queen Street Singapore 180270,180270,07:00 AM - 10:00 AM: $1.20 per 30 mins,10:00 AM - 05:00 PM: $1.40 per 30 mins,05:00 PM - 10:30 PM: $1.40 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,10:00 AM - 10:30 PM: $1.40 per 30 mins,,,,Same as weekdays,,,,,,07:00 AM - 10:00 AM: $0.60 per 30 mins,10:00 AM - 10:30 PM: $1.40 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,
Angullia Park,Angullia Park Singapore 239974,239974,07:00 AM - 11:00 AM: $1.30 per 30 mins,11:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 10:30 PM: $0.80 per 30 mins,10:30 PM - 07:00 AM: $0.70 per 30 mins; Capped at $5.60,,,,,07:00 AM - 11:00 AM: $1.30 per 30 mins,11:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 10:30 PM: $0.80 per 30 mins,10:30 PM - 07:00 AM: $0.70 per 30 mins; Capped at $5.60,,,07:00 AM - 11:00 AM: $0.70 per 30 mins,11:00 AM - 10:30 PM: $0.80 per 30 mins,10:30 PM - 07:00 AM: $0.70 per 30 mins; Capped at $5.60,,,,
Bay Hotel Singapore,50 Telok Blangah Road Singapore 098828,098828,07:00 AM - 12:00 PM: $1.50 per 30 mins,12:00 PM - 03:00 PM: $0.70 per 30 mins,03:00 PM - 06:00 PM: $1.50 per 30 mins,06:00 PM - 03:00 AM: $5.00 per entry,03:00 AM - 07:00 AM: $1.50 per 30 mins,12:00 AM - 12:00 AM: Capped at $26.00,,,07:00 AM - 12:00 PM: $1.50 per 30 mins,12:00 PM - 03:00 PM: $0.70 per 30 mins,03:00 PM - 06:00 PM: $1.50 per 30 mins,06:00 PM - 03:00 AM: $5.00 per entry,03:00 AM - 07:00 AM: $1.50 per 30 mins,12:00 AM - 12:00 AM: Capped at $26.00,07:00 AM - 12:00 PM: $1.50 per 30 mins,12:00 PM - 03:00 PM: $0.70 per 30 mins,03:00 PM - 06:00 PM: $1.50 per 30 mins,06:00 PM - 03:00 AM: $5.00 per entry,03:00 AM - 07:00 AM: $1.50 per 30 mins,12:00 AM - 12:00 AM: Capped at $26.00,
